Nome,Capital,População da Região Metropolitana da Capital,ID,Sigla,Densidade N,Estado,Região,Porcentagem Ar.,Área Total (km²),Densidade Populacional (habitantes/km²),Porcentagem pop.,População Total,Pop. Tot.,Número de Freguesias,Número de municípios,Porcentagem pop. Região Metropolitana Capital,Pop. MetCap.,Limites (DIREÇÃO),Primeiro Setor no PIB Províncial (%),Segundo Setor no PIB Províncial (%),Terceiro Setor no PIB Províncial (%),Desemprego,Principal atividade econômica de destaque,Qualidade de Infraestrutura (%),IDH,Nota de educação,"Gastos em P&D per capita (mil US$, 2019)",Gastos em P&D Totais (Mil US$ - 2020)
Maurinaica,Cidade do Lando,"26,2 milhões",42,MN,"351,1723866",Império do Lando,Oeste,"1,2165",149825,"351,17","7,25","52,6 milhões","52614402,82",19,213,"49,95","26280894,21","Orena (N), Sedri (NE), Sópia (SE), Naicania (S), Oceano Atlântico (O)","0,22","21,13","78,65","1,76",Serviços financeiros,97,"0,956","9,89","0,645",33936289821
Fenipra,Nacica,"21,6 milhões",23,FE,"121,6926949",Reino de Sarso,Centro-Norte,"3,6945",455016,"121,69","7,63","55,3 milhões","55372123,25",21,374,"39,11","21656037,4","Alta Ferdinandia (NE), Coince e Fepria (L), Dátria e Erena (S) Palma e Bener (O), Ganya (NO)","4,15","29,64","66,21","2,34","Indústria farmacêutica, industria de biotecnologia, indústria audiovisual",93,"0,954","9,93","0,892",49391933936
Naxo,Portgran,"1,9 milhão",45,NX,"161,7393201",Reino de Dalmaci e Naxo,Sudoeste,"1,4682",180824,"161,74","4,03","29,2 milhões","29246350,81",18,168,"6,63","1939033,059","Lanisia (N), Grenia (N-NE), Dalmaci (L), Mar do Sul (S-SO)","12,82","37,74","49,44","1,17",Indústria Petroquímica,96,"0,941","9,81","1,193",34890896517
Distrito de São João de Guaratín,Guaratin,"18,3 milhões",16,DS,"657,8331214",União,Oeste,"0,2105",25925,"657,83","2,35","17,0 milhões","17054323,67",3,27,"107,64",18357274,"Naicania (N-L), Maurimidia (SE-S), Oceano Atlântico (O)","0,83","19,74","79,43","0,97",Atividades gerais,95,"0,951","9,81","1,181",20141156258
Espala,Marsébia,"16,4 milhões",19,ES,"92,47278321",Império do Lando,Centro-Oeste,"4,0399",497556,"92,47","6,34","46,0 milhões","46010388,12",15,197,"35,74","16444112,72","Etrubina (N), Maida (NE), Inspular (L), Varene e Étrio (S), Sópia (SO), Sedri (O), Cirenu (NO)","3,63","18,54","77,83","2,95","Industria Militar, Industria de moda",92,"0,953","9,81","1,076",49507177621
Assipi,Micia,"16,2 milhões",5,AS,"133,2969121",Império do Lando,Noroeste,"1,7859",219952,"133,30","4,04","29,3 milhões","29318922,4",13,117,"55,59","16298388,96","Golfo do Esorni (NE), Gapia (L), Orena (S), Oceano Atlântico (O-N)","1,25","11,86","86,89","1,59",Turismo,94,"0,957","9,91","1,143",33511528304
Alta Ferdinandia,Turima,"15,8 milhões",3,AF,"116,2673335",Reino de Sarso,Norte,"1,7586",216590,"116,27","3,47","25,1 milhões","25182341,76",6,84,"63,13","15897612,36","Mar do Credeal (N-NE), Coince (L), Fenipra (S), Ganya (O)","4,85","20,74","74,41","3,12","Atividades gerais, indústria tecnológica",95,"0,942","9,98","1,066",26844376321
Guinésia,Navada,"15,6 milhões",30,GN,"357,563427",Reino de Sarso,Nordeste,"0,6839",84229,"357,56","4,15","30,1 milhões","30117209,89",18,201,"51,84","15612761,61","Mar do Credeal (N), País de Sentilhe (L), Nova Guinésia (S), Munina e Kali (O)","10,55","27,93","61,52","2,33",Industria tecnológica,93,"0,95","9,22","2,046",61619811438
Orena,Jute,"13,7 milhões",47,OR,"150,6354914",Império do Lando,Oeste,"2,0028",246666,"150,64","5,12","37,1 milhões","37156654,13",9,110,"36,92","13718236,71","Assipi (N), Sedri (L), Maurinaica (S), Oceano Atlântico (O)","1,8","26,81","71,39","2,39",Serviços Financeiros,91,"0,954","9,98","0,948",35224508116
Audivia,Lune,"10,5 milhões",6,AU,"147,7093996",Império da Laucidônia,Leste,"1,5917",196034,"147,71","3,99","28,9 milhões","28956064,45",8,99,"36,28","10505260,18","Tiroles (NE), Mar Sorene (L-SE), Sorene (SO), Alandina e Abastia (NO)","4,97","23,74","71,29","3,02",Indústria Siderúrgica,94,"0,952","9,79","0,946",27392436970
